	Kingdom	Phylum	Class	Order	Family	Genus	Species
Hu_ASV_243	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_244	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_245	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_246	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_247	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_248	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_249	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	cerevisiae
Hu_ASV_250	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_251	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_252	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_253	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_254	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_255	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_256	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_257	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_258	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_259	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_260	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_261	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_262	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_263	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_264	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_265	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_266	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	albicans
Hu_ASV_267	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	globosa
Hu_ASV_268	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_269	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_270	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_271	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_272	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	globosa
Hu_ASV_273	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_274	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_275	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_276	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_277	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_278	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_279	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	glomerata
Hu_ASV_280	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	uvarum
Hu_ASV_281	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_282	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_283	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_284	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_285	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_286	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_287	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_288	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_289	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_290	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_291	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	albicans
Hu_ASV_292	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	arunalokei
Hu_ASV_293	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_294	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_295	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_296	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_297	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	delbrueckii
Hu_ASV_298	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_299	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_300	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_301	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	globosa
Hu_ASV_302	Fungi	NA	NA	NA	NA	Candida	[Candida] pseudoflosculorum
Hu_ASV_303	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_304	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_305	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_306	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_307	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_308	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_309	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_310	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_311	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_312	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_313	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_314	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_315	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_316	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_317	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_318	Fungi	Basidiomycota	NA	NA	NA	NA	NA
Hu_ASV_319	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_320	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_321	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_322	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_323	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_324	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_325	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_326	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_327	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_328	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_329	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_330	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_331	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_332	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_333	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_334	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_335	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Claussenomyces	NA
Hu_ASV_336	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_337	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_338	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_339	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_340	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_341	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_342	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_343	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_344	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_345	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_346	Fungi	Ascomycota	NA	NA	NA	NA	NA
Hu_ASV_347	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_348	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_349	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_350	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_351	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_352	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_353	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_354	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_355	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_356	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_357	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_358	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_359	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_360	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_361	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_362	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_363	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_364	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_365	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_366	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_367	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_368	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_369	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_370	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_371	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_372	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_373	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_374	Viridiplantae	Anthophyta	Eudicotyledonae	Apiales	Apiaceae	Daucus	NA
Hu_ASV_375	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_376	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_377	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_378	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_379	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_380	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_381	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_382	Viridiplantae	Anthophyta	NA	NA	NA	NA	NA
Hu_ASV_383	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Starmerella	bacillaris
Hu_ASV_384	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_385	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	bisporus
Hu_ASV_386	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_387	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_388	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_389	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_390	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_391	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_392	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_393	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_394	Fungi	NA	NA	NA	NA	NA	NA
Hu_ASV_395	NA	NA	NA	NA	NA	NA	NA
Hu_ASV_396	Fungi	NA	NA	NA	NA	NA	NA
